Dataset Size,Threads,Sequential Time,Parallel Time,Speedup
1000,1,0.0017268999945372343,0.451444399979664,0.003825277253666288
1000,2,0.0017268999945372343,0.4539657999994233,0.003804031040530868
1000,4,0.0017268999945372343,0.4658449999988079,0.0037070270037064977
1000,8,0.0017268999945372343,0.43335690000094473,0.003984937114266484
5000,1,0.009980900009395555,3.829668899998069,0.002606204418716351
5000,2,0.009980900009395555,3.719007900013821,0.0026837533766353285
5000,4,0.009980900009395555,3.4914212000148837,0.002858692617594522
5000,8,0.009980900009395555,3.6145522999868263,0.002761310165419914
10000,1,0.01865810001618229,11.385196700022789,0.0016388034838383549
10000,2,0.01865810001618229,12.346306399995228,0.001511229303056135
10000,4,0.01865810001618229,12.917277400003513,0.0014444297694015005
10000,8,0.01865810001618229,12.544379500002833,0.0014873673118848225
